Employee_ID,Country,Department,Salary,Bonus,Overtime,Attendance,Experience,Leaves,Tax,Net_Pay,Total_Pay,Pay_Deviation,Tax_Ratio,Attendance_Ratio,Risk_Score,Fraud_Label
59,Germany,Sales,149338,10758,9014,23,6,8,44801.4,124308.6,169110,-44801.399999999994,0.3,0.7666666666666667,0.2966423817112858,0
60,USA,Finance,52843,3473,16926,24,21,10,13210.75,60031.25,73242,-13210.75,0.25,0.8,0.4631904888064644,0
61,USA,IT,165118,15281,6209,20,10,4,41279.5,145328.5,186608,-41279.5,0.25,0.6666666666666666,0.31234420232803206,0
62,Germany,Finance,128064,34548,19149,27,15,8,38419.2,143341.8,181761,-38419.20000000001,0.3,0.9,0.48855603448275864,0
63,UAE,HR,151417,20371,10270,18,1,0,7570.85,174487.15,182058,-7570.850000000006,0.05,0.6,0.4198705891676628,0
64,USA,Operations,141585,30363,17268,20,17,9,35396.25,153819.75,189216,-35396.25,0.25,0.6666666666666666,0.4482927216866193,0
65,USA,Operations,55346,14057,3649,26,3,9,13836.5,129468.21061729382,73052,56416.21061729382,0.25,0.8666666666666667,0.823148252541975,1
66,Germany,Finance,148152,21644,14126,18,11,10,44445.6,139476.4,183922,-44445.600000000006,0.3,0.6,0.36947405367460445,0
67,USA,Operations,136769,30123,16073,30,18,7,34192.25,148772.75,182965,-34192.25,0.25,1.0,0.4496846873194949,0
68,USA,IT,127391,25874,19955,25,10,2,31847.75,141372.25,173220,-31847.75,0.25,0.8333333333333334,0.46116111028251605,0
69,Germany,Finance,98143,25123,3666,19,21,7,29442.899999999998,97489.1,126932,-29442.899999999994,0.3,0.6333333333333333,0.4116007254720153,0
70,Germany,Sales,61787,16281,13357,23,9,4,18536.1,182173.81298543522,91425,90748.81298543522,0.3,0.7666666666666667,1.0547792237142208,1
71,India,IT,58583,5251,15448,20,7,1,11716.6,67565.4,79282,-11716.600000000006,0.2,0.6666666666666666,0.46096000546233545,0
72,UAE,IT,168635,24289,9913,24,11,8,8431.75,194405.25,202837,-8431.75,0.05,0.8,0.4210933376819758,0
73,UAE,IT,146943,7054,8566,19,8,3,7347.150000000001,155215.85,162563,-7347.149999999994,0.05,0.6333333333333333,0.3535803338709568,0
74,USA,Sales,189762,36484,15605,21,2,6,47440.5,194410.5,241851,-47440.5,0.25,0.7,0.4089240733128867,0
75,UAE,HR,136233,3310,557,27,5,11,6811.650000000001,133288.35,140100,-6811.649999999994,0.05,0.9,0.30446077675746697,0
76,USA,Operations,39925,31146,9472,26,9,7,9981.25,70561.75,80543,-9981.25,0.25,0.8666666666666667,0.9134257983719474,0
77,India,Finance,108184,31312,11615,23,1,6,21636.800000000003,129474.2,151111,-21636.800000000003,0.20000000000000004,0.7666666666666667,0.5070210012571175,0
78,Germany,HR,176180,32981,6040,21,17,10,52854.0,162347.0,215201,-52854.0,0.3,0.7,0.36161028493586106,0
79,Germany,Finance,101515,6257,13884,19,10,5,30454.5,91201.5,121656,-30454.5,0.3,0.6333333333333333,0.3352061271733241,0
80,Germany,Operations,161427,17846,1128,27,8,11,48428.1,131972.9,180401,-48428.100000000006,0.3,0.9,0.29157867023484296,0
81,UAE,Sales,71069,24483,17744,26,18,6,3553.4500000000003,109742.55,113296,-3553.449999999997,0.05,0.8666666666666667,0.6759510475734849,0
82,India,IT,125854,28558,9292,21,10,3,25170.800000000003,138533.2,163704,-25170.79999999999,0.2,0.7,0.4431385573760071,0
83,UAE,IT,79471,15012,5349,26,9,9,3973.55,95858.45,99832,-3973.550000000003,0.05,0.8666666666666667,0.4576139094764128,0
84,UAE,Sales,57705,35236,19009,19,4,0,2885.25,109064.75,111950,-2885.25,0.05,0.6333333333333333,0.9100862143661728,0
85,India,HR,199981,30931,12319,24,2,4,39996.200000000004,203234.8,243231,-39996.20000000001,0.2,0.8,0.3852292967831944,0
86,India,HR,153501,34076,9823,28,19,7,30700.2,166699.8,197400,-30700.20000000001,0.2,0.9333333333333333,0.43379026846730634,0
87,India,Finance,141361,16801,57,28,10,9,28272.2,129946.8,158219,-28272.199999999997,0.2,0.9333333333333333,0.3234381477210829,0
88,India,Sales,112273,11628,8503,22,17,5,22454.600000000002,109949.4,132404,-22454.600000000006,0.2,0.7333333333333333,0.35793930864945267,0
89,Germany,HR,48241,10728,10193,25,3,4,14472.3,54689.7,69162,-14472.300000000003,0.3,0.8333333333333334,0.4924443937729317,0
90,UK,Sales,183486,19335,19121,28,21,1,40366.92,181575.08000000002,221942,-40366.919999999984,0.22,0.9333333333333333,0.37028887217553386,0
91,UK,Operations,75818,30570,5493,25,19,9,16679.96,95201.04000000001,111881,-16679.959999999992,0.22,0.8333333333333334,0.5597115724498141,0
92,India,IT,176967,24459,3877,21,19,11,35393.4,169909.6,205303,-35393.399999999994,0.2,0.7,0.3498933699503297,0
93,UK,IT,117307,9077,2282,30,22,4,25807.54,102858.45999999999,128666,-25807.540000000008,0.22,1.0,0.2998366508392508,0
94,UK,IT,91920,3971,11375,21,19,9,20222.4,87043.6,107266,-20222.399999999994,0.22000000000000003,0.7,0.33848977371627503,0
95,India,Sales,143642,35959,1431,25,19,11,28728.4,152303.6,181032,-28728.399999999994,0.2,0.8333333333333334,0.42121371186700274,0
96,UK,Sales,90453,5046,12526,20,15,2,19899.66,88125.34,108025,-19899.660000000003,0.22,0.6666666666666666,0.35613856920168485,0
97,UAE,Finance,47689,14703,1775,24,18,1,2384.4500000000003,88655.11037421801,64167,24488.110374218013,0.05,0.8,0.6921980564127033,1
98,USA,IT,164324,10043,11351,25,17,2,41081.0,144637.0,185718,-41081.0,0.25,0.8333333333333334,0.3092281103186388,0
99,USA,Finance,55844,39676,14639,25,10,3,13961.0,96198.0,110159,-13961.0,0.25,0.8333333333333334,0.8796200128930591,0
100,India,IT,120687,4804,4385,28,24,1,24137.4,105738.6,129876,-24137.399999999994,0.2,0.9333333333333333,0.28966400689386596,0
101,Germany,Finance,48365,12176,15203,27,14,3,14509.5,61234.5,75744,-14509.5,0.3,0.9,0.5748299390054792,0
102,India,Finance,162098,5936,3974,21,19,3,32419.600000000002,139588.4,172008,-32419.600000000006,0.2,0.7,0.28034349590988167,0
103,Germany,Operations,123303,33174,5905,26,23,5,36990.9,125391.1,162382,-36990.899999999994,0.3,0.8666666666666667,0.4270652782170751,0
104,USA,Finance,53523,19096,4465,27,18,11,13380.75,63703.25,77084,-13380.75,0.25,0.9,0.5248000859443605,0
105,India,Sales,166554,25232,19686,21,11,4,33310.8,178161.2,211472,-33310.79999999999,0.2,0.7,0.4169636274121306,0
106,UAE,Finance,137105,27909,6945,25,11,6,6855.25,165103.75,171959,-6855.25,0.05,0.8333333333333334,0.4578842857663834,0
107,UK,IT,73888,10366,11058,23,12,10,16255.36,79056.64,95312,-16255.36,0.22,0.7666666666666667,0.42200075790385444,0
108,Germany,Finance,138884,21589,12636,22,8,6,41665.2,131443.8,173109,-41665.20000000001,0.3,0.7333333333333333,0.3734018317444774,0
109,UK,HR,131968,8506,2302,21,16,2,29032.96,113743.04000000001,142776,-29032.959999999992,0.22,0.7,0.28958468719689623,0
110,UK,IT,75110,30842,4966,22,24,8,16524.2,94393.8,110918,-16524.199999999997,0.22,0.7333333333333333,0.5611069098655306,0
111,India,HR,156565,19458,13447,30,8,6,31313.0,158157.0,189470,-31313.0,0.2,1.0,0.37852904544438415,0
112,UK,IT,107001,23831,18426,28,24,6,23540.22,125717.78,149258,-23540.22,0.22,0.9333333333333333,0.4932246801431763,0
113,UAE,Sales,64767,10783,14162,18,14,1,3238.3500000000004,86473.65,89712,-3238.350000000006,0.05,0.6,0.5327388176077323,0
114,UK,Sales,54550,13170,16058,24,23,11,12001.0,71777.0,83778,-12001.0,0.22,0.8,0.5796241979835013,0
115,India,Sales,169905,16609,8714,25,18,9,33981.0,161247.0,195228,-33981.0,0.2,0.8333333333333334,0.33920072981960503,0
116,UAE,HR,159042,25035,10899,29,24,2,7952.1,187023.9,194976,-7952.100000000006,0.05,0.9666666666666667,0.4363053155770174,0
117,USA,Operations,123315,18208,2998,26,21,2,30828.75,113692.25,144521,-30828.75,0.25,0.8666666666666667,0.3429450999472895,0
118,UK,IT,120494,37178,909,30,22,11,26508.68,132072.32,158581,-26508.679999999993,0.22,1.0,0.45450890500771823,0
119,India,Sales,152424,15636,12729,20,4,5,30484.800000000003,250372.40689755962,180789,69583.40689755962,0.2,0.6666666666666666,0.5588675147566518,1
120,USA,IT,138855,11039,1880,26,17,3,34713.75,117060.25,151774,-34713.75,0.25,0.8666666666666667,0.2887737207878722,0
121,USA,HR,107681,16990,12497,27,13,3,26920.25,110247.75,137168,-26920.25,0.25,0.9,0.40508005126252544,0
122,Germany,Operations,126489,8441,18944,22,5,0,37946.7,115927.3,153874,-37946.7,0.3,0.7333333333333333,0.3465739313299971,0
123,UAE,HR,155546,10685,7527,27,3,5,7777.3,165980.7,173758,-7777.299999999988,0.05,0.9,0.362119951654173,0
124,UK,IT,53900,15778,5696,23,9,7,11858.0,63516.0,75374,-11858.0,0.22,0.7666666666666667,0.5023153988868274,0
125,India,Operations,39126,28862,3072,18,20,7,7825.200000000001,63234.8,71060,-7825.199999999997,0.2,0.6,0.8034769718345858,0
126,Germany,Operations,136198,29273,12018,26,18,7,40859.4,136629.6,177489,-40859.399999999994,0.3,0.8666666666666667,0.4133943229709687,0
127,UAE,HR,104303,30413,4476,26,20,4,5215.150000000001,133976.85,139192,-5215.149999999994,0.05,0.8666666666666667,0.514856284095376,0
128,Germany,Sales,92061,5956,11067,23,19,9,27618.3,81465.7,109084,-27618.300000000003,0.3,0.7666666666666667,0.32741562659540957,0
129,UAE,IT,41978,8553,4489,25,19,5,2098.9,52921.1,55020,-2098.9000000000015,0.05,0.8333333333333334,0.49178688837009865,0
130,UAE,Finance,81344,25253,16219,21,21,4,4067.2000000000003,118748.8,122816,-4067.199999999997,0.05,0.7,0.621945564516129,0
131,UK,Finance,71648,25915,14367,22,16,3,15762.56,96167.44,111930,-15762.559999999998,0.22,0.7333333333333333,0.6075024006252792,0
132,UAE,HR,26055,4365,6855,22,1,11,1302.75,69242.03067599953,37275,31967.03067599953,0.05,0.7333333333333333,0.9432012743350551,1
133,Germany,IT,100582,8668,3097,24,5,3,30174.6,82172.4,112347,-30174.600000000006,0.3,0.8,0.2887993875643753,0
134,UAE,IT,106214,7000,11817,24,24,3,5310.700000000001,119720.3,125031,-5310.699999999997,0.05000000000000001,0.8,0.397887190012616,0
135,UK,HR,132954,5675,19889,24,15,3,29249.88,129268.12,158518,-29249.880000000005,0.22,0.8,0.35363461046677797,0
136,UK,IT,63725,14907,1084,22,12,5,14019.5,65696.5,79716,-14019.5,0.22,0.7333333333333333,0.4079552765790506,0
137,Germany,Sales,161327,19336,552,21,1,5,48398.1,132816.9,181215,-48398.100000000006,0.3,0.7,0.2959521344846182,0
138,USA,HR,78380,21684,1153,25,14,4,19595.0,81622.0,101217,-19595.0,0.25,0.8333333333333334,0.4274827762184231,0
139,USA,Sales,78333,30311,18629,18,18,11,19583.25,107689.75,127273,-19583.25,0.25,0.6,0.6385562278988421,0
140,UAE,IT,67459,17136,18070,18,18,10,3372.9500000000003,99292.05,102665,-3372.949999999997,0.05,0.6,0.6235345172623371,0
141,India,HR,141518,14219,17077,23,6,10,28303.600000000002,144510.4,172814,-28303.600000000006,0.2,0.7666666666666667,0.382734493138682,0
142,UAE,IT,61163,5247,8689,19,1,8,3058.15,72040.85,75099,-3058.149999999994,0.05,0.6333333333333333,0.43028881840328304,0
143,Germany,HR,190043,6415,13483,29,17,7,57012.9,152928.1,209941,-57012.899999999994,0.3,0.9666666666666667,0.2761971238088222,0
144,Germany,IT,109730,8472,15034,20,18,9,32919.0,100317.0,133236,-32919.0,0.3,0.6666666666666666,0.346250797411829,0
145,Germany,Sales,44476,24380,12159,21,15,5,13342.8,67672.2,81015,-13342.800000000003,0.3,0.7,0.757742602752046,0
146,Germany,Sales,93580,39616,805,19,12,10,28074.0,105927.0,134001,-28074.0,0.3,0.6333333333333333,0.5114981833725155,0
147,Germany,IT,130576,29280,920,27,13,8,39172.799999999996,121603.20000000001,160776,-39172.79999999999,0.3,0.9,0.3711934811910305,0
148,UK,HR,111593,23859,13162,24,20,4,24550.46,124063.54000000001,148614,-24550.459999999992,0.22,0.8,0.4544304929520669,0
149,USA,Finance,134071,35805,19988,27,2,9,33517.75,156346.25,189864,-33517.75,0.25,0.9,0.501393105145781,0
150,Germany,Sales,139832,10262,1443,18,4,3,41949.6,109587.4,151537,-41949.600000000006,0.3,0.6,0.26756336174838374,0
151,India,Sales,163579,13066,7048,20,3,5,32715.800000000003,150977.2,183693,-32715.79999999999,0.2,0.6666666666666666,0.32176477420695815,0
152,India,Finance,168190,17554,13707,19,19,3,33638.0,165813.0,199451,-33638.0,0.2,0.6333333333333333,0.36195731018490995,0
153,India,IT,93682,9008,17929,30,8,7,18736.4,209406.8016497276,120619,88787.8016497276,0.2,1.0,0.766464640965375,1
154,India,HR,116713,24315,1210,26,12,6,23342.600000000002,118895.4,142238,-23342.600000000006,0.2,0.8666666666666667,0.3920524705902513,0
155,UK,IT,129060,17263,16004,25,12,4,28393.2,133933.8,162327,-28393.20000000001,0.22,0.8333333333333334,0.40203424763675805,0
156,India,Operations,160486,18238,10272,20,10,9,32097.2,156898.8,188996,-32097.20000000001,0.2,0.6666666666666666,0.35795296786012487,0
157,Germany,Sales,108030,18489,6212,22,1,5,32409.0,100322.0,132731,-32409.0,0.3,0.7333333333333333,0.3643043599000278,0
158,UAE,Operations,145360,19153,10340,20,5,10,7268.0,167585.0,174853,-7268.0,0.05,0.6666666666666666,0.4199140066042928,0
159,India,Sales,110973,26283,9700,28,20,6,22194.600000000002,124761.4,146956,-22194.600000000006,0.2,0.9333333333333333,0.4582341650671785,0
160,UK,Sales,160009,13687,17297,30,11,1,35201.98,155791.02,190993,-35201.98000000001,0.22000000000000003,1.0,0.358737358523583,0
161,UK,Operations,61731,24998,19164,29,9,8,13580.82,92312.18,105893,-13580.820000000007,0.22,0.9666666666666667,0.7037315773274367,0
162,India,Operations,194737,30887,8581,28,14,6,38947.4,195257.6,234205,-38947.399999999994,0.2,0.9333333333333333,0.37746488854198224,0
163,UAE,IT,173572,6355,13045,29,3,7,8678.6,184293.4,192972,-8678.600000000006,0.05,0.9666666666666667,0.35572281243518544,0
164,India,Operations,139360,35701,2570,28,5,4,27872.0,149759.0,177631,-27872.0,0.2,0.9333333333333333,0.43038963834672794,0
165,UK,IT,26750,7906,2779,23,24,2,5885.0,31550.0,37435,-5885.0,0.22,0.7666666666666667,0.5032186915887851,0
166,USA,IT,90018,14572,18360,22,21,1,22504.5,205274.35024841482,122950,82324.35024841482,0.25,0.7333333333333333,0.8100502685521167,1
167,Germany,IT,160099,14279,11628,28,9,1,48029.7,137976.3,186006,-48029.70000000001,0.3,0.9333333333333333,0.3160100312931373,0
168,UK,Sales,161817,12611,17178,19,18,2,35599.74,156006.26,191606,-35599.73999999999,0.22,0.6333333333333333,0.35224777371969573,0
169,India,Sales,111984,10261,1722,27,6,0,22396.800000000003,101570.2,123967,-22396.800000000003,0.20000000000000004,0.9,0.3133667309615659,0
170,Germany,Operations,132983,6474,13885,25,21,0,39894.9,113447.1,153342,-39894.899999999994,0.3,0.8333333333333334,0.30672514531932654,0
171,India,Sales,53451,27878,17282,23,7,6,10690.2,87920.8,98611,-10690.199999999997,0.2,0.7666666666666667,0.7990877626237114,0
172,India,Operations,118743,30390,102,20,16,9,23748.600000000002,125486.4,149235,-23748.600000000006,0.2,0.6666666666666666,0.4196670119501781,0
173,USA,Sales,96474,28925,13262,30,8,11,24118.5,114542.5,138661,-24118.5,0.25,1.0,0.5173554532827498,0
174,Germany,HR,37150,18638,7453,30,23,10,11145.0,52096.0,63241,-11145.0,0.3,1.0,0.6815585464333782,0
175,Germany,HR,38406,25471,9639,18,10,7,11521.8,61994.2,73516,-11521.800000000003,0.3,0.6,0.8248284122272561,0
176,USA,Operations,175853,6787,12406,22,5,5,43963.25,151082.75,195046,-43963.25,0.25,0.7333333333333333,0.29434485052856646,0
177,UK,Sales,141047,9862,18416,29,11,6,31030.34,138294.66,169325,-31030.339999999997,0.22,0.9666666666666667,0.3612838131970194,0
178,India,Sales,148971,12663,12224,28,21,0,29794.2,144063.8,173858,-29794.20000000001,0.2,0.9333333333333333,0.3487359284692994,0
179,UAE,IT,128157,18120,6172,19,13,0,6407.85,146041.15,152449,-6407.850000000006,0.05,0.6333333333333333,0.4128681617079051,0
180,India,Finance,43325,24740,11252,30,20,8,8665.0,70652.0,79317,-8665.0,0.2,1.0,0.7955499134448932,0
181,India,Operations,119415,38510,17918,19,2,4,23883.0,151960.0,175843,-23883.0,0.2,0.6333333333333333,0.5557710505380395,0
182,UK,Finance,165508,4035,7197,26,14,6,36411.76,140328.24,176740,-36411.76000000001,0.22,0.8666666666666667,0.2771562220557314,0
183,India,Finance,42669,36735,13677,28,9,5,8533.800000000001,84547.2,93081,-8533.800000000003,0.20000000000000004,0.9333333333333333,1.0349729311678266,0
184,USA,Operations,152385,3852,11039,30,10,3,38096.25,129179.75,167276,-38096.25,0.25,1.0,0.28615956294910916,0
185,USA,Sales,97010,10303,4570,27,10,0,24252.5,87630.5,111883,-24252.5,0.25,0.9,0.3276090093804762,0
186,Germany,Operations,157915,2164,6706,24,10,3,47374.5,119410.5,166785,-47374.5,0.3,0.8,0.24507203242250575,0
187,UAE,Finance,75812,36905,11655,23,19,9,3790.6000000000004,120581.4,124372,-3790.600000000006,0.05,0.7666666666666667,0.7179987337097029,0
188,India,Sales,41059,12215,434,30,11,9,8211.800000000001,45496.2,53708,-8211.800000000003,0.20000000000000004,1.0,0.45459119803210013,0
189,India,HR,111269,32694,15139,18,11,7,22253.800000000003,136848.2,159102,-22253.79999999999,0.20000000000000004,0.6,0.5273145260584708,0
190,UK,Operations,196840,33253,9449,27,3,11,43304.8,196237.2,239542,-43304.79999999999,0.22,0.9,0.38105598455598455,0
191,USA,Operations,50395,26230,9122,19,19,10,12598.75,73148.25,85747,-12598.75,0.25,0.6333333333333333,0.6979477130667725,0
192,UAE,Sales,45202,18925,13603,28,24,0,2260.1,75469.9,77730,-2260.100000000006,0.049999999999999996,0.9333333333333333,0.7586361222954736,0
193,Germany,HR,169345,8033,10991,24,22,1,50803.5,137565.5,188369,-50803.5,0.3,0.8,0.28214680090938615,0
194,USA,HR,128235,4665,13859,20,1,7,32058.75,114700.25,146759,-32058.75,0.25,0.6666666666666666,0.3153099777751784,0
195,Germany,Sales,70510,29025,15571,19,12,1,21153.0,93953.0,115106,-21153.0,0.3,0.6333333333333333,0.6306509714934052,0
196,UK,IT,112945,25533,6461,23,15,10,24847.9,120091.1,144939,-24847.899999999994,0.22,0.7666666666666667,0.4265689494886892,0
197,UK,Operations,95649,14125,5996,25,14,11,21042.78,164214.47725371618,115770,48444.47725371618,0.22,0.8333333333333334,0.5929298076939106,1
198,India,Operations,131723,22998,4852,25,3,9,26344.600000000002,133228.4,159573,-26344.600000000006,0.2,0.8333333333333334,0.3843164823151613,0
199,UAE,Finance,27881,25057,2512,28,20,8,1394.0500000000002,54055.95,55450,-1394.050000000003,0.05000000000000001,0.9333333333333333,0.9681569886302499,0
200,Germany,Sales,70913,15708,15446,19,13,2,21273.899999999998,80793.1,102067,-21273.899999999994,0.3,0.6333333333333333,0.49574732418597434,0
201,USA,Finance,136860,20072,1263,23,18,2,34215.0,123980.0,158195,-34215.0,0.25,0.7666666666666667,0.3331996200496858,0
202,UK,Finance,109785,7095,2747,29,16,5,24152.7,95474.3,119627,-24152.699999999997,0.22,0.9666666666666667,0.29425140046454434,0
