Employee_ID,Salary,Bonus,Overtime,Attendance,Experience,Leaves,Tax,Net_Pay,anomaly,Validation_Flag,Total_Pay,Pay_Deviation,Tax_Ratio,Attendance_Ratio,Risk_Score,Fraud_Label,Country_India,Country_UAE,Country_UK,Country_USA,Department_HR,Department_IT,Department_Ops,Department_Sales,Anomaly,Cluster,Decision
10,187483,49942,14034,18,2,0,56244.9,195214.1,1,Valid,251459,-56244.899999999994,0.3,0.6,0.441379911778668,0,False,False,False,False,False,False,False,False,1,2,Approve
11,140724,28035,1329,30,12,5,30959.28,139128.72,1,Valid,170088,-30959.28,0.22,1.0,0.3791202353543106,0,False,False,True,False,False,False,True,False,1,1,Approve
12,181606,21208,19997,21,19,4,9080.300000000001,213730.7,1,Valid,222811,-9080.299999999988,0.05,0.7,0.43281339823574116,0,False,True,False,False,False,True,False,False,1,0,Approve
13,190253,40178,8652,30,18,3,47563.25,191519.75,1,Valid,239083,-47563.25,0.25,1.0,0.40011313882041283,0,False,False,False,True,False,False,True,False,1,2,Approve
14,133069,18636,3699,27,10,0,39920.7,115483.3,1,Valid,155404,-39920.7,0.3,0.9,0.3247119163742119,0,False,False,False,False,False,False,True,False,1,2,Approve
15,49996,14039,6027,20,5,6,12499.0,57563.0,1,Valid,70062,-12499.0,0.25,0.6666666666666666,0.49389151132090564,0,False,False,False,True,False,False,False,False,1,3,Approve
16,135682,19990,18657,26,11,3,40704.6,133624.4,1,Valid,174329,-40704.600000000006,0.3,0.8666666666666667,0.39563405610176733,0,False,False,False,False,False,False,False,True,1,2,Approve
17,113609,11441,10667,23,1,2,5680.450000000001,130036.55,1,Valid,135717,-5680.449999999997,0.05000000000000001,0.7666666666666667,0.4118288603895818,0,False,True,False,False,False,False,True,False,1,0,Approve
18,190477,13685,4823,21,3,6,38095.4,170889.6,1,Valid,208985,-38095.399999999994,0.2,0.7,0.3054845466906766,0,True,False,False,False,False,False,False,True,1,2,Approve
19,131490,18778,9347,20,17,1,39447.0,120168.0,1,Valid,159615,-39447.0,0.3,0.6666666666666666,0.3526176895581413,0,False,False,False,False,True,False,False,False,1,2,Approve
20,101325,31862,16881,29,15,9,25331.25,124736.75,1,Valid,150068,-25331.25,0.25,0.9666666666666667,0.5450789538613372,0,False,False,False,True,False,False,False,True,1,1,Approve
21,58930,32273,6959,30,14,0,2946.5,95215.5,1,Valid,98162,-2946.5,0.05,1.0,0.739208382827083,0,False,True,False,False,False,True,False,False,1,0,Approve
22,144426,33413,13616,21,24,3,43327.799999999996,148127.2,1,Valid,191455,-43327.79999999999,0.3,0.7,0.42851120989295555,0,False,False,False,False,False,True,False,False,1,2,Approve
23,47529,47500,6210,25,15,7,9505.800000000001,91733.2,1,Valid,101239,-9505.800000000003,0.2,0.8333333333333334,1.0179671358538998,0,True,False,False,False,False,False,True,False,1,3,Review
24,83546,8956,12517,29,16,5,16709.2,88309.8,1,Valid,105019,-16709.199999999997,0.2,0.9666666666666667,0.40493189380700456,0,True,False,False,False,False,False,False,True,1,1,Approve
25,37942,11553,12620,22,4,8,8347.24,53767.76,1,Valid,62115,-8347.239999999998,0.22,0.7333333333333333,0.6467115070370566,0,False,False,True,False,False,False,True,False,1,3,Approve
26,37548,28253,3976,30,19,0,8260.56,61516.44,1,Valid,69777,-8260.559999999998,0.21999999999999997,1.0,0.8242498135719613,0,False,False,True,False,False,False,False,False,1,1,Review
27,145248,28915,17991,28,24,0,36312.0,155842.0,1,Valid,192154,-36312.0,0.25,0.9333333333333333,0.4386697235073804,0,False,False,False,True,False,True,False,False,1,2,Approve
28,179368,7365,8912,18,8,4,53810.4,141834.6,1,Valid,195645,-53810.399999999994,0.3,0.6,0.2685539226617903,0,False,False,False,False,False,False,True,False,1,2,Approve
29,127780,11668,17658,22,6,5,38334.0,118772.0,1,Valid,157106,-38334.0,0.3,0.7333333333333333,0.3568336202848646,0,False,False,False,False,False,False,False,False,1,2,Approve
30,30296,10000,12059,25,16,7,6665.12,127076.33773570167,1,Valid,52355,74721.33773570167,0.22,0.8333333333333334,1.509790114890101,1,False,False,True,False,False,False,True,False,1,3,Audit
31,97945,8675,690,28,3,2,29383.5,77926.5,1,Valid,107310,-29383.5,0.3,0.9333333333333333,0.2762259431313492,0,False,False,False,False,False,False,False,True,1,1,Approve
32,89980,17907,12344,29,8,5,26994.0,93237.0,1,Valid,120231,-26994.0,0.3,0.9666666666666667,0.43161924872193824,0,False,False,False,False,False,False,False,True,1,1,Approve
33,86782,22336,3437,21,5,2,17356.4,95198.6,1,Valid,112555,-17356.399999999994,0.2,0.7,0.4439293862782605,0,True,False,False,False,False,False,False,True,1,3,Approve
34,195301,24684,2355,19,5,7,42966.22,179373.78,1,Valid,222340,-42966.22,0.22,0.6333333333333333,0.3297076512665066,0,False,False,True,False,False,False,False,True,1,2,Approve
35,126382,33311,749,30,12,3,6319.1,154122.9,1,Valid,160442,-6319.100000000006,0.05,1.0,0.4730576347897643,0,False,True,False,False,True,False,False,False,1,0,Approve
36,83444,20136,19435,20,1,1,18357.68,104657.32,1,Valid,123015,-18357.679999999993,0.22,0.6666666666666666,0.5426644935525622,0,False,False,True,False,False,False,False,False,1,3,Approve
37,65036,48923,12965,28,7,8,3251.8,123672.2,1,Valid,126924,-3251.800000000003,0.05,0.9333333333333333,0.9311821145211883,0,False,True,False,False,False,False,False,False,1,0,Review
38,69322,17219,19948,26,24,9,13864.400000000001,92624.6,-1,Valid,106489,-13864.399999999994,0.2,0.8666666666666667,0.5865292403565967,0,True,False,False,False,False,False,False,True,1,1,Approve
39,188239,8247,12847,24,11,7,47059.75,162273.25,1,Valid,209333,-47059.75,0.25,0.8,0.29661693379161597,0,False,False,False,True,True,False,False,False,1,2,Approve
40,81667,9415,5758,20,10,5,24500.1,72339.9,1,Valid,96840,-24500.100000000006,0.3,0.6666666666666666,0.33300317141562685,0,False,False,False,False,False,False,False,True,1,3,Approve
41,124527,11472,18088,22,3,2,24905.4,129181.6,1,Valid,154087,-24905.399999999994,0.2,0.7333333333333333,0.39163940350285475,0,True,False,False,False,True,False,False,False,1,2,Approve
42,113337,27380,11637,20,8,1,34001.1,118352.9,1,Valid,152354,-34001.100000000006,0.3,0.6666666666666666,0.44071194755463794,0,False,False,False,False,False,False,False,True,1,3,Approve
43,81468,42616,6074,27,1,3,20367.0,109791.0,1,Valid,130158,-20367.0,0.25,0.9,0.6359048951735651,0,False,False,False,True,False,True,False,False,1,1,Approve
44,102894,32280,13378,21,8,3,25723.5,122828.5,1,Valid,148552,-25723.5,0.25,0.7,0.5226150212840399,0,False,False,False,True,False,True,False,False,1,3,Approve
45,93138,26859,18761,29,23,0,18627.600000000002,120130.4,1,Valid,138758,-18627.600000000006,0.2,0.9666666666666667,0.5627243445210333,0,True,False,False,False,False,False,True,False,1,1,Approve
46,52588,38805,14529,25,20,8,13147.0,92775.0,1,Valid,105922,-13147.0,0.25,0.8333333333333334,0.907302046094166,0,False,False,False,True,False,False,False,True,1,3,Review
47,92901,13262,5274,20,11,9,4645.05,106791.95,1,Valid,111437,-4645.050000000003,0.05,0.6666666666666666,0.41898994628690756,0,False,True,False,False,False,False,False,False,1,0,Approve
48,178743,16066,19615,20,7,7,44685.75,169738.25,1,Valid,214424,-44685.75,0.25,0.6666666666666666,0.35376140604107575,0,False,False,False,True,False,False,True,False,1,2,Approve
49,113038,20554,14007,28,16,6,33911.4,113687.6,1,Valid,147599,-33911.399999999994,0.3,0.9333333333333333,0.4116313098250146,0,False,False,False,False,False,True,False,False,1,1,Approve
50,192717,12008,6409,28,7,5,57815.1,153318.9,1,Valid,211134,-57815.100000000006,0.3,0.9333333333333333,0.27356989782945973,0,False,False,False,False,False,False,False,True,1,2,Approve
51,168709,27315,18599,25,13,2,50612.7,164010.3,1,Valid,214623,-50612.70000000001,0.3,0.8333333333333334,0.38948005144953735,0,False,False,False,False,False,False,True,False,1,2,Approve
52,161732,20263,6288,27,10,3,48519.6,139763.4,1,Valid,188283,-48519.600000000006,0.3,0.9,0.3210287389013924,0,False,False,False,False,False,False,False,True,1,2,Approve
53,137211,21238,885,30,17,1,6860.55,152473.45,1,Valid,159334,-6860.549999999988,0.05,1.0,0.3972184081451196,0,False,True,False,False,False,True,False,False,1,0,Approve
54,36922,43410,864,27,3,6,8122.84,73073.16,1,Valid,81196,-8122.8399999999965,0.22,0.9,1.0710456638318617,0,False,False,True,False,False,False,True,False,1,1,Review
55,123697,21489,6917,24,7,1,24739.4,127363.6,1,Valid,152103,-24739.399999999994,0.2,0.8,0.3951573603240176,0,True,False,False,False,False,True,False,False,1,1,Approve
56,147217,22153,11686,24,11,9,44165.1,136890.9,1,Valid,181056,-44165.100000000006,0.3,0.8,0.36296263339152407,0,False,False,False,False,True,False,False,False,1,2,Approve
57,99506,48152,3054,27,13,0,24876.5,125835.5,1,Valid,150712,-24876.5,0.25,0.9,0.582152332522662,0,False,False,False,True,False,True,False,False,1,1,Approve
58,154338,29283,8977,19,5,5,46301.4,146296.6,1,Valid,192598,-46301.399999999994,0.3,0.6333333333333333,0.37771177545387397,0,False,False,False,False,False,False,False,True,1,2,Approve
59,57843,16687,16199,29,23,3,14460.75,76268.25,1,Valid,90729,-14460.75,0.25,0.9666666666666667,0.5949721660356482,0,False,False,False,True,False,False,False,False,1,1,Approve
60,170118,27998,8536,24,19,7,42529.5,164122.5,1,Valid,206652,-42529.5,0.25,0.8,0.37031207749914763,0,False,False,False,True,False,True,False,False,1,2,Approve
61,133064,33887,15070,27,15,0,39919.2,142101.8,1,Valid,182021,-39919.20000000001,0.3,0.9,0.45621911260746706,0,False,False,False,False,False,False,False,False,1,2,Approve
62,156417,9355,16937,28,1,8,7820.85,174888.15,1,Valid,182709,-7820.850000000006,0.05,0.9333333333333333,0.3918342955049643,0,False,True,False,False,True,False,False,False,1,0,Approve
63,146585,38701,7683,27,5,5,36646.25,156322.75,1,Valid,192969,-36646.25,0.25,0.9,0.44126019033325375,0,False,False,False,True,False,False,True,False,1,2,Approve
64,60346,46534,17171,20,13,1,15086.5,108964.5,1,Valid,124051,-15086.5,0.25,0.6666666666666666,0.9355093958174527,0,False,False,False,True,False,False,True,False,1,3,Review
65,153152,10906,10011,24,10,7,45945.6,128123.4,1,Valid,174069,-45945.600000000006,0.3,0.8,0.29906707062264937,0,False,False,False,False,False,False,False,False,1,2,Approve
66,141769,17572,15271,30,5,4,35442.25,139169.75,1,Valid,174612,-35442.25,0.25,1.0,0.3763941693882301,0,False,False,False,True,False,False,True,False,1,2,Approve
67,132391,17279,8896,21,23,4,33097.75,125468.25,1,Valid,158566,-33097.75,0.25,0.7,0.3566773798823183,0,False,False,False,True,False,True,False,False,1,2,Approve
68,103143,48491,14582,30,1,4,30942.899999999998,135273.1,1,Valid,166216,-30942.899999999994,0.3,1.0,0.6239195098067731,0,False,False,False,False,False,False,False,False,1,1,Approve
69,66787,15611,7190,25,10,6,20036.1,112775.19643079884,1,Valid,89588,23187.19643079884,0.3,0.8333333333333334,0.6323679597712077,0,False,False,False,False,False,False,False,True,1,1,Approve
70,63583,13261,9144,25,18,6,12716.6,73271.4,1,Valid,85988,-12716.600000000006,0.2,0.8333333333333334,0.4722806410518534,0,True,False,False,False,False,True,False,False,1,1,Approve
71,173635,9474,814,23,22,9,8681.75,175241.25,-1,Valid,183923,-8681.75,0.05,0.7666666666666667,0.326006709476776,0,False,True,False,False,False,True,False,False,-1,0,Approve
72,151943,30878,9740,30,8,6,7597.150000000001,184963.85,1,Valid,192561,-7597.149999999994,0.05,1.0,0.46571645288035646,0,False,True,False,False,False,True,False,False,1,0,Approve
73,194762,33390,2777,29,20,9,48690.5,182238.5,1,Valid,230929,-48690.5,0.25,0.9666666666666667,0.3535630667173268,0,False,False,False,True,False,False,False,True,1,2,Approve
74,141233,31925,4958,20,3,1,7061.650000000001,171054.35,1,Valid,178116,-7061.649999999994,0.05,0.6666666666666666,0.464294499160961,0,False,True,False,False,True,False,False,False,1,0,Approve
75,44925,21638,3825,23,19,7,11231.25,59156.75,1,Valid,70388,-11231.25,0.25,0.7666666666666667,0.6132381747356705,0,False,False,False,True,False,False,True,False,1,3,Approve
76,113184,28471,17600,23,19,0,22636.800000000003,136618.2,1,Valid,159255,-22636.79999999999,0.20000000000000004,0.7666666666666667,0.5093817147299972,0,True,False,False,False,False,False,False,False,1,1,Approve
77,181180,9787,14800,20,2,1,54354.0,151413.0,1,Valid,205767,-54354.0,0.3,0.6666666666666666,0.2968247047135445,0,False,False,False,False,True,False,False,False,1,2,Approve
78,106515,12862,9999,28,17,6,31954.5,97421.5,1,Valid,129376,-31954.5,0.3,0.9333333333333333,0.35085152325963476,0,False,False,False,False,False,False,False,False,1,1,Approve
79,166427,48724,12964,21,16,3,49928.1,178186.9,1,Valid,228115,-49928.100000000006,0.3,0.7,0.46167310592632205,0,False,False,False,False,False,False,True,False,1,2,Approve
80,76069,15663,6772,19,21,9,3803.4500000000003,94700.55,1,Valid,98504,-3803.449999999997,0.05,0.6333333333333333,0.48254827853659177,0,False,True,False,False,False,False,False,True,1,0,Approve
81,130854,21120,9481,18,10,9,26170.800000000003,135284.2,1,Valid,161455,-26170.79999999999,0.2,0.6,0.39645375762299967,0,True,False,False,False,False,True,False,False,1,3,Approve
82,84471,27740,15737,19,21,8,4223.55,123724.45,1,Valid,127948,-4223.550000000003,0.05,0.6333333333333333,0.6266580838394242,0,False,True,False,False,False,True,False,False,1,0,Approve
83,62705,41510,17246,24,16,8,3135.25,118325.75,1,Valid,121461,-3135.25,0.05,0.8,0.9134124073040427,0,False,True,False,False,False,False,False,True,1,0,Review
84,158501,7035,10677,27,5,2,31700.2,269345.9317545831,1,Valid,176213,93132.93175458309,0.2,0.9,0.5477623455143811,1,True,False,False,False,True,False,False,False,1,2,Approve
85,146361,39735,2355,22,20,2,29272.2,159178.8,1,Valid,188451,-29272.20000000001,0.2,0.7333333333333333,0.4396945907721319,0,True,False,False,False,True,False,False,False,1,2,Approve
86,117273,6852,9157,26,3,8,23454.600000000002,109827.4,1,Valid,133282,-23454.600000000006,0.2,0.8666666666666667,0.327749098257911,0,True,False,False,False,False,False,False,False,1,1,Approve
87,53241,48315,2395,20,3,9,10648.2,93302.8,-1,Valid,103951,-10648.199999999997,0.2,0.6666666666666666,0.9022246013410717,0,True,False,False,False,False,False,False,True,1,3,Review
88,188486,44386,524,19,2,7,56545.799999999996,176850.2,1,Valid,233396,-56545.79999999999,0.3,0.6333333333333333,0.3765089184342604,0,False,False,False,False,True,False,False,False,1,2,Approve
89,80818,13303,561,21,21,0,17779.96,76902.04000000001,1,Valid,94682,-17779.959999999992,0.22,0.7,0.35338800762206435,0,False,False,True,False,False,False,False,True,1,3,Approve
90,181967,49118,8167,19,4,5,40032.74,199219.26,1,Valid,239252,-40032.73999999999,0.22,0.6333333333333333,0.4498787032813642,0,False,False,True,False,False,False,True,False,1,2,Approve
91,122307,5164,16184,28,22,6,24461.4,119193.6,1,Valid,143655,-24461.399999999994,0.2,0.9333333333333333,0.3489487927919088,0,True,False,False,False,False,True,False,False,1,1,Approve
92,96920,44726,4664,24,18,7,21322.4,124987.6,1,Valid,146310,-21322.399999999994,0.22000000000000003,0.8,0.5859046636401155,0,False,False,True,False,False,True,False,False,1,3,Approve
93,148642,39905,1205,27,2,1,32701.24,157050.76,1,Valid,189752,-32701.23999999999,0.22,0.9,0.4267887138224728,0,False,False,True,False,False,True,False,False,1,2,Approve
94,95453,15215,12039,23,24,0,19090.600000000002,103616.4,1,Valid,122707,-19090.600000000006,0.2,0.7666666666666667,0.4272534126743004,0,True,False,False,False,False,False,False,True,1,1,Approve
95,52689,35694,12393,25,6,3,11591.58,89184.42,1,Valid,100776,-11591.580000000002,0.22,0.8333333333333334,0.8493390650799977,0,False,False,True,False,False,False,False,True,1,3,Review
96,169324,36253,2238,30,3,0,8466.2,199348.8,1,Valid,207815,-8466.200000000012,0.05,1.0,0.44280338286362236,0,False,True,False,False,False,False,False,False,1,0,Approve
97,60844,29230,17544,22,21,1,15211.0,141179.33044906336,1,Valid,107618,33561.33044906336,0.25,0.7333333333333333,0.9747715326855402,1,False,False,False,True,False,True,False,False,1,3,Review
98,125687,21925,12987,19,3,2,31421.75,358403.91525260266,1,Valid,160599,197804.91525260266,0.25,0.6333333333333333,0.9562426867995958,1,False,False,False,True,False,False,False,False,1,3,Review
99,53365,11033,5239,30,2,3,10673.0,58964.0,1,Valid,69637,-10673.0,0.2,1.0,0.44362597207907806,0,True,False,False,False,False,True,False,False,1,1,Approve
100,167098,7665,12017,21,3,5,50129.4,136650.6,1,Valid,186780,-50129.399999999994,0.3,0.7,0.28525942859878634,0,False,False,False,False,False,False,False,False,1,2,Approve
101,128303,32025,16455,18,17,7,25660.600000000002,151122.4,1,Valid,176783,-25660.600000000006,0.2,0.6,0.4916737722422702,0,True,False,False,False,False,False,False,False,1,3,Approve
102,58523,28533,17138,19,14,8,17556.899999999998,86637.1,1,Valid,104194,-17556.899999999994,0.3,0.6333333333333333,0.7269916101361857,0,False,False,False,False,False,False,True,False,1,3,Approve
103,171554,17125,9096,21,7,3,42888.5,154886.5,1,Valid,197775,-42888.5,0.25,0.7,0.32668868111498417,0,False,False,False,True,False,False,False,False,1,2,Approve
104,142105,25998,14814,23,22,0,28421.0,154496.0,1,Valid,182917,-28421.0,0.2,0.7666666666666667,0.4306125752084726,0,True,False,False,False,False,False,False,True,1,2,Approve
105,78888,43957,13291,21,21,4,3944.4,132191.6,1,Valid,136136,-3944.399999999994,0.05,0.7,0.7761329986816752,0,False,True,False,False,False,False,False,False,1,0,Approve
106,143884,28057,2621,21,6,4,31654.48,142907.52,1,Valid,174562,-31654.48000000001,0.22,0.7,0.3814277890522921,0,False,False,True,False,False,True,False,False,1,2,Approve
107,136968,18708,3190,28,8,8,41090.4,117775.6,1,Valid,158866,-41090.399999999994,0.3,0.9333333333333333,0.31958472051866127,0,False,False,False,False,False,False,False,False,1,2,Approve
108,80110,23072,3948,27,19,5,17624.2,89505.8,1,Valid,107130,-17624.199999999997,0.22,0.9,0.46517213830982396,0,False,False,True,False,True,False,False,False,1,1,Approve
109,161565,10095,1287,27,19,4,35544.3,137402.7,1,Valid,172947,-35544.29999999999,0.22000000000000003,0.9,0.2825173150125337,0,False,False,True,False,False,True,False,False,1,2,Approve
110,112001,36495,14590,19,12,9,22400.2,140685.8,1,Valid,163086,-22400.20000000001,0.2,0.6333333333333333,0.5462517298952688,0,True,False,False,False,True,False,False,False,1,3,Approve
111,69767,45351,15668,26,5,9,15348.74,115437.26,1,Valid,130786,-15348.740000000005,0.22,0.8666666666666667,0.8237702352114897,0,False,False,True,False,False,True,False,False,1,1,Review
112,59550,6637,1772,29,5,4,2977.5,64981.5,-1,Valid,67959,-2977.5,0.05,0.9666666666666667,0.38087069689336694,0,False,True,False,False,False,False,False,True,-1,0,Approve
113,174905,19670,6200,27,14,7,38479.1,162295.9,1,Valid,200775,-38479.100000000006,0.22,0.9,0.33399142391584,0,False,False,True,False,False,False,False,True,1,2,Approve
114,164042,43734,15762,25,17,0,32808.4,190729.6,1,Valid,223538,-32808.399999999994,0.2,0.8333333333333334,0.4842728081832701,0,True,False,False,False,False,False,False,True,1,2,Approve
115,128315,42438,3138,25,16,4,6415.75,167475.25,1,Valid,173891,-6415.75,0.05,0.8333333333333334,0.5311863383080699,0,False,True,False,False,True,False,False,False,1,0,Approve
116,125494,33658,7213,22,4,0,31373.5,134991.5,1,Valid,166365,-31373.5,0.25,0.7333333333333333,0.4472289511849171,0,False,False,False,True,False,False,True,False,1,2,Approve
117,157424,10203,14941,20,8,6,34633.28,147934.72,1,Valid,182568,-34633.28,0.22,0.6666666666666666,0.33631413253379405,0,False,False,True,False,False,True,False,False,1,2,Approve
118,143855,26518,2416,23,3,6,28771.0,144018.0,1,Valid,172789,-28771.0,0.2,0.7666666666666667,0.37911369086927804,0,True,False,False,False,False,False,False,True,1,2,Approve
119,112681,13669,15964,26,21,9,28170.25,114143.75,1,Valid,142314,-28170.25,0.25,0.8666666666666667,0.39491950728161795,0,False,False,False,True,False,True,False,False,1,1,Approve
120,131489,7366,17968,25,5,7,32872.25,123950.75,1,Valid,156823,-32872.25,0.25,0.8333333333333334,0.34620405509206087,0,False,False,False,True,True,False,False,False,1,2,Approve
121,160546,23910,1046,24,23,6,48163.799999999996,137338.2,1,Valid,185502,-48163.79999999999,0.3,0.8,0.3181596551767095,0,False,False,False,False,False,False,True,False,1,2,Approve
122,58900,36087,14909,28,24,8,2945.0,106951.0,1,Valid,109896,-2945.0,0.05,0.9333333333333333,0.8657521222410867,0,False,True,False,False,True,False,False,False,1,0,Review
123,44126,5366,13578,25,7,7,9707.72,53362.28,1,Valid,63070,-9707.720000000001,0.21999999999999997,0.8333333333333334,0.5037502606173231,0,False,False,True,False,False,True,False,False,1,1,Approve
124,141198,14907,18549,21,18,7,28239.600000000002,146414.4,1,Valid,174654,-28239.600000000006,0.2,0.7,0.3927238346152212,0,True,False,False,False,False,False,True,False,1,2,Approve
125,109303,44374,5719,23,24,2,32790.9,126605.1,1,Valid,159396,-32790.899999999994,0.3,0.7666666666666667,0.5255741379468084,0,False,False,False,False,False,False,True,False,1,2,Approve
126,97061,35289,15960,22,8,9,4853.05,143456.95,1,Valid,148310,-4853.049999999988,0.05,0.7333333333333333,0.638162444236099,0,False,True,False,False,True,False,False,False,1,0,Approve
127,46978,37780,17560,29,11,3,14093.4,88224.6,1,Valid,102318,-14093.399999999994,0.3,0.9666666666666667,0.9972195495763975,0,False,False,False,False,False,False,False,True,1,1,Review
128,86344,24623,15598,19,14,3,4317.2,122247.8,1,Valid,126565,-4317.199999999997,0.049999999999999996,0.6333333333333333,0.5930109793384601,0,False,True,False,False,False,True,False,False,1,0,Approve
129,76648,40085,15624,25,18,0,3832.4,128524.6,1,Valid,132357,-3832.399999999994,0.05,0.8333333333333334,0.7733871725289636,0,False,True,False,False,False,False,False,False,1,0,Approve
130,31055,25426,6411,20,13,5,6832.1,56059.9,1,Valid,62892,-6832.0999999999985,0.22,0.6666666666666666,0.9309827725004025,0,False,False,True,False,False,False,False,False,1,3,Review
131,105582,12485,8074,22,6,1,5279.1,120861.9,1,Valid,126141,-5279.100000000006,0.05,0.7333333333333333,0.4136573468962512,0,False,True,False,False,True,False,False,False,1,0,Approve
132,111214,38024,10352,25,13,8,33364.2,126225.8,1,Valid,159590,-33364.2,0.3,0.8333333333333334,0.5051786645566205,0,False,False,False,False,False,True,False,False,1,2,Approve
133,137954,30469,15003,28,1,0,6897.700000000001,176528.3,1,Valid,183426,-6897.700000000012,0.05,0.9333333333333333,0.5048566188729576,0,False,True,False,False,False,True,False,False,1,0,Approve
134,68725,20903,9223,26,11,0,15119.5,83731.5,1,Valid,98851,-15119.5,0.22,0.8666666666666667,0.5274288832302655,0,False,False,True,False,True,False,False,False,1,1,Approve
135,166327,8212,19672,30,7,9,36591.94,157619.06,1,Valid,194211,-36591.94,0.22,1.0,0.33952465925556286,0,False,False,True,False,False,True,False,False,1,2,Approve
136,83380,43943,12718,26,10,5,25014.0,115027.0,1,Valid,140041,-25014.0,0.3,0.8666666666666667,0.6704329575437755,0,False,False,False,False,False,False,False,True,1,1,Approve
137,83333,32799,1315,22,2,0,20833.25,96613.75,1,Valid,117447,-20833.25,0.25,0.7333333333333333,0.5099807399229597,0,False,False,False,True,True,False,False,False,1,3,Approve
138,72459,21087,17276,19,16,2,18114.75,179850.79897986964,1,Valid,110822,69028.79897986964,0.25,0.6333333333333333,0.9325665506556935,1,False,False,False,True,False,False,False,True,1,3,Review
139,146518,12446,19464,24,5,9,7325.900000000001,171102.1,1,Valid,178428,-7325.899999999994,0.05,0.8,0.4241678838094978,0,False,True,False,False,False,True,False,False,1,0,Approve
140,66163,34281,8936,28,16,1,13232.6,96147.4,1,Valid,109380,-13232.600000000006,0.2,0.9333333333333333,0.6837268564001027,0,True,False,False,False,True,False,False,False,1,1,Approve
141,195043,19877,13767,28,23,8,9752.15,218934.85,1,Valid,228687,-9752.149999999994,0.049999999999999996,0.9333333333333333,0.3986882636136647,0,False,True,False,False,False,True,False,False,1,0,Approve
142,114730,29723,6466,24,16,4,34419.0,199259.90574989296,1,Valid,150919,48340.90574989296,0.3,0.8,0.6415669112260776,1,False,False,False,False,True,False,False,False,1,2,Approve
143,49476,17943,15185,29,15,5,14842.8,67761.2,1,Valid,82604,-14842.800000000003,0.3,0.9666666666666667,0.6480123696337619,0,False,False,False,False,False,True,False,False,1,1,Approve
144,98580,15306,5090,30,9,1,29574.0,89402.0,1,Valid,118976,-29574.0,0.3,1.0,0.34966524650030434,0,False,False,False,False,False,False,False,True,1,1,Approve
145,135576,41784,4240,25,1,7,40672.799999999996,140927.2,1,Valid,181600,-40672.79999999999,0.3,0.8333333333333334,0.4445016817135777,0,False,False,False,False,False,False,False,True,1,2,Approve
146,116593,25455,16795,25,9,5,34977.9,123865.1,1,Valid,158843,-34977.899999999994,0.3,0.8333333333333334,0.44925535838343644,0,False,False,False,False,False,True,False,False,1,2,Approve
147,139071,29491,14910,22,11,7,30595.62,152876.38,1,Valid,183472,-30595.619999999995,0.22,0.7333333333333333,0.446766860093046,0,False,False,True,False,True,False,False,False,1,2,Approve
148,144832,10912,2446,18,5,7,36208.0,121982.0,1,Valid,158190,-36208.0,0.25,0.6,0.28787284577993816,0,False,False,False,True,False,False,False,False,1,2,Approve
149,168579,34974,3346,30,6,0,50573.7,156325.3,1,Valid,206899,-50573.70000000001,0.3,1.0,0.36713345078568504,0,False,False,False,False,False,False,False,True,1,2,Approve
